algorithm,opponent,rounds,time,percentageWin
custom,RANDOM,100,75,96.0
custom,GREEDY,100,75,99.0
custom,MINIMAX,100,75,85.5
custom,SELF,100,75,49.5
custom,RANDOM,100,150,97.0
custom,GREEDY,100,150,99.5
custom,MINIMAX,100,150,80.0
custom,SELF,100,150,50.0
custom,RANDOM,100,750,96.5
custom,GREEDY,100,750,100.0
custom,MINIMAX,100,750,81.5
custom,SELF,100,750,50.0
base,RANDOM,100,150,92.5
base,GREEDY,100,150,35.0
base,MINIMAX,100,150,48.5
base,SELF,100,150,54.0
base,RANDOM,100,750,93.0
base,GREEDY,100,750,50.0
base,MINIMAX,100,750,50.0
base,SELF,100,750,50.0
base,RANDOM,100,75,94.5
base,GREEDY,100,75,33.0
base,MINIMAX,100,75,47.0
base,SELF,100,75,48.0